timestamp,value,label,scale_factor,offset_factor,original_ts
1/1/2015,9895.31433,0,2.21,3147,1330.517796
1/2/2015,15555.06635,0,2.21,3147,3891.491559
1/3/2015,9060.889753,0,2.21,3147,952.9501145
1/4/2015,11739.34537,0,2.21,3147,2164.920983
1/5/2015,11591.51329,0,2.21,3147,2098.028637
1/6/2015,18457.8857,0,2.21,3147,5204.984481
1/7/2015,23860.97568,0,2.21,3147,7649.821574
1/8/2015,12428.84009,0,2.21,3147,2476.909541
1/9/2015,15117.11729,0,2.21,3147,3693.324567
1/10/2015,24664.25651,0,2.21,3147,8013.297062
1/11/2015,11570.87221,0,2.21,3147,2088.688782
1/12/2015,12723.51199,0,2.21,3147,2610.245245
1/13/2015,27101.97256,0,2.21,3147,9116.336
1/14/2015,26902.43896,0,2.21,3147,9026.049303
1/15/2015,19173.23748,0,2.21,3147,5528.673068
1/16/2015,27542.19452,0,2.21,3147,9315.531457
1/17/2015,12623.49928,0,2.21,3147,2564.990623
1/18/2015,9908.222665,0,2.21,3147,1336.358672
1/19/2015,15312.97093,0,2.21,3147,3781.946121
1/20/2015,28001.5133,0,2.21,3147,9523.36801
1/21/2015,15703.8385,0,2.21,3147,3958.809277
1/22/2015,19074.51307,0,2.21,3147,5484.001389
1/23/2015,16731.19903,0,2.21,3147,4423.678292
1/24/2015,10080.0096,0,2.21,3147,1414.090316
1/25/2015,26651.03415,0,2.21,3147,8912.291472
1/26/2015,28943.66799,0,2.21,3147,9949.682349
1/27/2015,23454.34838,0,2.21,3147,7465.827321
1/28/2015,29743.29773,0,2.21,3147,10311.50576
1/29/2015,9281.211819,0,2.21,3147,1052.643357
1/30/2015,29640.39055,0,2.21,3147,10264.94142
1/31/2015,14475.81333,0,2.21,3147,3403.14178
2/1/2015,13875.18278,0,2.21,3147,3131.363248
2/2/2015,22170.2658,0,2.21,3147,6884.794482
2/3/2015,17163.16178,0,2.21,3147,4619.136552
2/4/2015,11618.02026,0,2.21,3147,2110.022744
2/5/2015,31478.43882,0,2.21,3147,11096.63748
2/6/2015,14748.68472,0,2.21,3147,3526.612996
2/7/2015,10291.39557,0,2.21,3147,1509.740076
2/8/2015,10856.77985,0,2.21,3147,1765.570068
2/9/2015,15482.93845,0,2.21,3147,3858.854502
2/10/2015,31495.44031,0,2.21,3147,11104.33046
2/11/2015,11751.70565,0,2.21,3147,2170.51387
2/12/2015,29862.44518,0,2.21,3147,10365.41864
2/13/2015,23082.77203,0,2.21,3147,7297.693226
2/14/2015,24773.50104,0,2.21,3147,8062.728976
2/15/2015,33895.69734,0,2.21,3147,12190.41961
2/16/2015,28345.12205,0,2.21,3147,9678.847082
2/17/2015,15822.6582,0,2.21,3147,4012.573845
2/18/2015,24364.04118,0,2.21,3147,7877.453021
2/19/2015,34417.17645,0,2.21,3147,12426.38301
2/20/2015,34356.96053,0,2.21,3147,12399.13599
2/21/2015,11733.6593,0,2.21,3147,2162.3481
2/22/2015,15820.56134,0,2.21,3147,4011.62504
2/23/2015,35045.89181,0,2.21,3147,12710.8696
2/24/2015,15678.73641,0,2.21,3147,3947.450863
2/25/2015,29675.34818,0,2.21,3147,10280.75936
2/26/2015,29851.62212,0,2.21,3147,10360.52132
2/27/2015,34785.87959,0,2.21,3147,12593.21701
2/28/2015,36371.84561,0,2.21,3147,13310.84869
3/1/2015,22059.99224,0,2.21,3147,6834.89694
3/2/2015,28776.04454,0,2.21,3147,9873.834633
3/3/2015,11652.54397,0,2.21,3147,2125.64433
3/4/2015,15567.42525,0,2.21,3147,3897.083822
3/5/2015,32138.93743,0,2.21,3147,11395.50562
3/6/2015,31910.37786,0,2.21,3147,11292.08501
3/7/2015,19107.81919,0,2.21,3147,5499.07203
3/8/2015,34812.0768,0,2.21,3147,12605.07095
3/9/2015,35635.35361,0,2.21,3147,12977.59439
3/10/2015,20976.93872,0,2.21,3147,6344.827475
3/11/2015,37898.29955,0,2.21,3147,14001.55183
3/12/2015,34332.8512,0,2.21,3147,12388.22679
3/13/2015,27937.70977,0,2.21,3147,9494.497635
3/14/2015,13234.71138,0,2.21,3147,2841.557186
3/15/2015,24919.27187,0,2.21,3147,8128.688629
3/16/2015,27967.28277,0,2.21,3147,9507.879081
3/17/2015,36786.24159,0,2.21,3147,13498.35819
3/18/2015,40556.74416,0,2.21,3147,15204.46794
3/19/2015,39523.95826,0,2.21,3147,14737.14401
3/20/2015,36601.99835,0,2.21,3147,13414.9902
3/21/2015,27434.07139,0,2.21,3147,9266.606962
3/22/2015,38755.8763,0,2.21,3147,14389.59561
3/23/2015,41274.55318,0,2.21,3147,15529.26841
3/24/2015,40975.15257,0,2.21,3147,15393.79302
3/25/2015,19841.13369,0,2.21,3147,5830.888545
3/26/2015,20276.70229,0,2.21,3147,6027.978413
3/27/2015,33057.26109,0,2.21,3147,11811.03669
3/28/2015,42912.00944,0,2.21,3147,16270.19884
3/29/2015,38663.70039,0,2.21,3147,14347.88705
3/30/2015,29870.18829,0,2.21,3147,10368.9223
3/31/2015,32561.09922,0,2.21,3147,11586.52906
4/1/2015,40002.21089,0,2.21,3147,14953.54792
4/2/2015,23282.28346,0,2.21,3147,7387.969891
4/3/2015,28304.34906,0,2.21,3147,9660.397766
4/4/2015,37010.89203,0,2.21,3147,13600.00997
4/5/2015,25370.71506,0,2.21,3147,8332.961564
4/6/2015,33139.98221,0,2.21,3147,11848.46706
4/7/2015,28278.97354,0,2.21,3147,9648.91563
4/8/2015,14701.28099,0,2.21,3147,3505.163345
4/9/2015,12391.30388,0,2.21,3147,2459.924833
4/10/2015,14578.07445,0,2.21,3147,3449.413777
4/11/2015,37244.69211,0,2.21,3147,13705.80186
4/12/2015,41453.14789,0,2.21,3147,15610.08049
4/13/2015,25394.52348,0,2.21,3147,8343.734608
4/14/2015,43290.52192,0,2.21,3147,16441.47146
4/15/2015,43168.3844,0,2.21,3147,16386.20561
4/16/2015,36808.17702,0,2.21,3147,13508.28372
4/17/2015,40379.66312,0,2.21,3147,15124.34078
4/18/2015,43449.68169,0,2.21,3147,16513.48945
4/19/2015,39284.06058,0,2.21,3147,14628.59302
4/20/2015,17188.73219,0,2.21,3147,4630.706875
4/21/2015,21242.38782,0,2.21,3147,6464.94019
4/22/2015,20772.14618,0,2.21,3147,6252.161167
4/23/2015,20040.11801,0,2.21,3147,5920.926703
4/24/2015,39703.68719,0,2.21,3147,14818.46932
4/25/2015,43596.77258,0,2.21,3147,16580.04642
4/26/2015,41090.0183,0,2.21,3147,15445.76846
4/27/2015,27188.73836,0,2.21,3147,9155.596544
4/28/2015,42621.08976,0,2.21,3147,16138.56098
4/29/2015,38441.91232,0,2.21,3147,14247.53046
4/30/2015,37312.36414,0,2.21,3147,13736.42269
5/1/2015,41905.205,0,2.21,3147,15814.63122
5/2/2015,42941.20253,0,2.21,3147,16283.40838
